date,open,high,low,close,volume,vwap,transactions,value,cumulative return,volatility,sharpe,10 day avg,100 day avg,beta
2023-03-07,29.57,30.33,29.42,29.73,3553305,29.78,23182,8884.2674,-0.11157517899761331,1.908584146976182,-2.918494324090975,30.126000000000005,32.54636363636364,-0.42226734282473355
2023-03-08,29.73,30.34,29.25,29.4,2294481,29.71,17750,8863.3843,-0.11366348448687354,1.933567122750546,-2.9169879512518277,30.173000000000002,32.483333333333334,-0.4230973367992207
2023-03-09,29.33,29.65,28.83,29.0,2543037,29.19,18690,8708.2527,-0.12917661097852037,1.9726590113040912,-3.1227860287559843,30.091,32.41173913043478,-0.42576835872711727
2023-03-10,28.97,29.22,27.61,27.67,3404004,28.06,25866,8371.139799999999,-0.16288782816229128,2.0517594038407263,-3.5531417506133356,29.841,32.319148936170215,-0.4220741002583171
2023-03-13,27.17,28.05,26.75,27.21,2957427,27.4,21814,8174.241999999999,-0.1825775656324583,2.150412462497662,-3.6970544668282006,29.564999999999998,32.21666666666667,-0.406901025222033
2023-03-14,27.93,28.3,27.48,28.17,2642511,27.99,19230,8350.2567,-0.16497613365155134,2.211904306986475,-3.327536357134556,29.324,32.13040816326531,-0.3998553364404573
2023-03-15,27.54,28.04,27.38,27.83,2580675,27.71,19435,8266.7243,-0.1733293556085919,2.276724284885583,-3.3557827141040795,29.159000000000002,32.042,-0.38572624123480165
2023-03-16,27.84,28.88,27.3,28.39,2016486,28.34,17202,8454.672199999999,-0.1545346062052507,2.312687970102936,-3.031187990175776,28.895999999999997,31.96941176470588,-0.3853992076639733
2023-03-17,28.21,28.48,27.71,27.93,2600949,27.96,14970,8341.3068,-0.16587112171837706,2.356436837714044,-3.136172326676561,28.602999999999998,31.892307692307693,-0.38583763384838515
2023-03-20,28.01,28.4,27.59,27.93,1567350,27.94,12756,8335.3402,-0.16646778042959423,2.3959843340227533,-3.0927547792262153,28.407999999999998,31.817735849056604,-0.3852731629611129
2023-03-21,28.35,30.01,28.22,29.73,3212460,29.46,22666,8788.8018,-0.12112171837708838,2.3948628341534555,-2.459511215422948,28.375999999999998,31.774074074074072,-0.3909074260463487
2023-03-22,29.85,30.24,29.39,29.51,2247798,29.76,16475,8878.3008,-0.11217183770883046,2.388077033764183,-2.3408759101830654,28.381,31.737454545454543,-0.3973865256858293
2023-03-23,29.8,30.34,29.21,29.63,1966473,29.77,15865,8881.284099999999,-0.11187350835322206,2.380828725901538,-2.3438023656602955,28.439,31.702321428571427,-0.4031814187595887
2023-03-24,30.12,30.52,29.76,30.15,2090085,30.17,15477,9000.6161,-0.09994033412887836,2.368188782122203,-2.1874066962507484,28.65,31.67543859649123,-0.4085262656612786
2023-03-27,30.43,30.98,30.12,30.84,2048988,30.67,14943,9149.7811,-0.08502386634844868,2.3510329621489205,-1.9906960367421476,28.977000000000004,31.658103448275863,-0.41329760170803903
2023-03-28,30.68,30.77,29.68,29.82,1509405,30.03,11740,8958.8499,-0.10411694510739865,2.3402957547614682,-2.27329900042581,29.181,31.63050847457627,-0.4204839682623787
2023-03-29,30.21,30.83,29.87,30.21,1251141,30.31,10266,9042.3823,-0.09576372315035807,2.3266319768997037,-2.1663039320538333,29.441000000000003,31.6085,-0.4290074298197163
2023-03-30,30.65,31.0,30.28,30.48,1148067,30.58,9891,9122.9314,-0.08770883054892607,2.31091697552283,-2.0641987793268886,29.665,31.591639344262294,-0.43666480644499933
2023-03-31,30.62,31.43,30.43,30.98,2048037,31.04,12960,9260.163199999999,-0.07398568019093088,2.2929672731893764,-1.8797442294083857,29.973000000000003,31.582741935483874,-0.441142191748389
2023-04-03,30.81,31.09,30.2,30.71,1643403,30.62,12593,9134.864599999999,-0.08651551312649175,2.2776324494994404,-2.076802164036421,30.241000000000003,31.567460317460316,-0.44745373301008456
2023-04-04,30.72,31.0,29.76,29.97,1499085,30.21,12977,9012.5493,-0.09874701670644385,2.265846140001291,-2.2685529742090424,30.315999999999995,31.54625,-0.45358621350595524
2023-04-05,29.7,29.83,28.89,29.45,1565574,29.3,13824,8741.069,-0.12589498806682584,2.265273554969945,-2.670843875224723,30.27,31.51169230769231,-0.4664067635659622
2023-04-06,29.29,29.49,28.79,28.9,1535898,29.07,12402,8672.453099999999,-0.13275656324582352,2.2677852426453273,-2.7693063178567536,30.2,31.474696969696968,-0.4840302400182116
2023-04-10,28.59,29.15,28.08,29.0,1565508,28.81,11762,8594.887299999999,-0.14051312649164693,2.2739628825722216,-2.87612082418953,30.064,31.434925373134327,-0.5067315764550478
2023-04-11,29.09,29.33,28.85,28.96,1538985,29.02,11785,8657.5366,-0.13424821002386642,2.275849772311038,-2.7814630284546187,29.899,31.39941176470588,-0.5248029713198175
2023-04-12,29.18,29.25,28.5,28.69,1459773,28.74,12889,8574.0042,-0.142601431980907,2.281627218050389,-2.8971393519964708,29.77,31.360869565217392,-0.5438730313651159
2023-04-13,29.01,29.55,28.92,29.12,1858302,29.22,18532,8717.202599999999,-0.12828162291169465,2.279441179565143,-2.6893398500282837,29.661,31.33028571428571,-0.5627088097603968
2023-04-14,28.94,29.43,28.59,28.97,1316517,28.95,13185,8636.653499999999,-0.13633651551312664,2.2806632961536777,-2.8062853516316486,29.498,31.296760563380285,-0.5830724720499547
2023-04-17,29.03,29.68,28.94,29.14,2275542,29.2,12708,8711.235999999999,-0.1288782816229118,2.277987432143028,-2.699835790671677,29.314,31.26763888888889,-0.6002517002059592
2023-04-18,29.22,29.37,28.3,29.23,2212461,28.88,18374,8615.7704,-0.1384248210023867,2.279308571626053,-2.8386643566141623,29.139999999999997,31.234931506849318,-0.616612046972503
2023-04-19,29.01,29.87,28.1,29.83,3175236,29.2,20965,8711.235999999999,-0.1288782816229118,2.2759697982990383,-2.7022291792256663,29.038999999999998,31.20743243243243,-0.6302234435991526
2023-04-20,29.42,30.48,29.42,30.01,3234765,30.07,20111,8970.783099999999,-0.10292362768496433,2.264351570767238,-2.3318781712907373,29.116000000000003,31.19226666666667,-0.6406505152797496
2023-04-21,30.18,30.77,29.75,30.19,2938638,30.28,14848,9033.4324,-0.09665871121718381,2.2516382028406006,-2.251779168431059,29.237000000000002,31.180263157894736,-0.6498354233300995
2023-04-24,30.21,30.86,30.21,30.83,2210076,30.61,17059,9131.8813,-0.08681384248210033,2.2377196200025553,-2.1183136428837317,29.417,31.172857142857143,-0.6565022282791693
2023-04-25,30.55,30.94,29.91,29.99,1469511,30.24,13539,9021.499199999998,-0.09785202863961831,2.2256492914573913,-2.2960454819248626,29.538999999999998,31.16089743589744,-0.6669825761080739
2023-04-26,30.56,31.65,30.33,30.62,2884470,30.94,21113,9230.3302,-0.07696897374701668,2.211475940580776,-1.9942301514896006,29.759000000000004,31.158101265822783,-0.6699914388410982
2023-04-27,30.67,31.28,30.45,31.02,2152161,30.95,17899,9233.3135,-0.0766706443914081,2.1975578505079527,-2.0023099728559726,29.932,31.1555,-0.6729290362548999
2023-04-28,30.75,31.9,29.92,31.86,2789532,31.07,21718,9269.1131,-0.07309069212410496,2.183800586134187,-1.9599738305670569,30.144,31.154444444444447,-0.6740515949060192
2023-05-01,32.06,34.57,32.06,34.45,4745319,33.97,34880,10134.2701,0.013424821002386605,2.192437839395816,-0.6295238912590344,30.621000000000002,31.188780487804877,-0.6263811591545942
2023-05-02,33.52,33.93,32.29,33.17,4941171,33.06,31879,9862.7898,-0.013723150357995184,2.1886869719494677,-1.0463771335743477,31.038999999999998,31.21132530120482,-0.598831497209492
2023-05-03,33.42,33.9,33.2,33.28,2451558,33.51,16405,9997.038299999998,-0.000298329355608761,2.189871966198471,-0.8403194471659032,31.47,31.238690476190477,-0.5648490676862425
2023-05-04,33.48,34.11,32.99,33.35,2159835,33.6,16903,10023.887999999999,0.002386634844868633,2.1918136140574376,-0.7985131531143698,31.822999999999997,31.266470588235297,-0.5320633921428004
2023-05-05,33.61,35.28,33.61,34.75,3216561,34.78,22049,10375.9174,0.0375894988066826,2.2115772516031402,-0.25782142567557903,32.273,31.307325581395347,-0.4803181814205304
2023-05-08,34.63,35.77,34.34,35.63,3141255,35.38,24268,10554.9154,0.05548926014319807,2.241618264975129,0.013297536188807774,32.75,31.354137931034483,-0.41945129513795326
2023-05-09,35.24,35.81,34.74,35.71,4505448,35.76,29499,10668.280799999999,0.06682577565632444,2.277648374661859,0.17992592911135205,33.302,31.404204545454547,-0.3586579230469711
2023-05-10,39.5,44.83,39.5,42.76,20874444,42.83,104554,12777.473899999999,0.27774463007159894,2.5681845055894565,2.912488562920918,34.491,31.532584269662923,-0.1815879799791251
2023-05-11,43.32,43.66,42.03,43.4,5818650,42.94,38233,12810.2902,0.2810262529832935,2.8226482903093917,2.688896107268144,35.69,31.659333333333336,-0.0679855014932318
2023-05-12,43.71,45.06,42.92,43.28,5246616,43.79,35652,13063.8707,0.3063842482100238,3.0815392384560174,2.738828665452499,36.962,31.792637362637365,0.01496599054838074
2023-05-15,43.24,44.11,42.55,43.85,3183705,43.38,22552,12941.5554,0.2941527446300715,3.294079131111731,2.437648787535348,37.903,31.918586956521743,0.06548650767360764
2023-05-16,44.04,44.46,43.27,44.09,3449481,44.03,23886,13135.4699,0.31354415274463004,3.508601495660769,2.4738654448887054,39.0,32.04881720430107,0.10691484884393657
2023-05-17,44.1,44.58,43.44,44.38,2458734,44.06,21180,13144.4198,0.3144391408114558,3.703064570212692,2.352054044658406,40.05499999999999,32.17659574468085,0.13509945290889924
2023-05-18,44.11,46.27,43.83,44.46,4724709,44.99,29240,13421.8667,0.34218377088305496,3.910889045255584,2.464863586885531,41.194,32.311473684210526,0.15887484452552547
2023-05-19,45.18,45.18,43.71,43.89,2898972,44.09,20591,13153.369700000001,0.3153341288782817,4.0717557745669515,2.146447008091865,42.125,32.43416666666666,0.1822119349248089
2023-05-22,44.12,45.07,43.66,43.74,3069501,44.04,17380,13138.4532,0.31384248210023863,4.218424726546574,2.059965167877712,42.991,32.55381443298969,0.20562034012222433
2023-05-23,43.9,44.38,42.8,43.2,4539846,43.39,28779,12944.5387,0.2944510739856801,4.337031876477332,1.8537581066916609,43.754000000000005,32.66438775510204,0.22693673698969735
2023-05-24,42.74,44.05,42.17,43.81,4237470,43.36,24641,12935.5888,0.29355608591885435,4.446731909540386,1.8012797179913405,43.807,32.77242424242424,0.24587406768637085
2023-05-25,43.83,44.24,42.63,43.04,2262339,43.05,17405,12843.106499999998,0.28430787589498785,4.542023640127246,1.6952373237283025,43.818,32.8752,0.26360017835255484
2023-05-26,43.12,43.29,41.75,42.15,2837556,42.43,20881,12658.141899999999,0.26581145584725524,4.618179507164706,1.5330300584930245,43.682,32.9643,0.2804458621210357
2023-05-30,42.63,42.93,41.44,41.52,2470320,42.02,19187,12535.8266,0.2535799522673031,4.681817874291704,1.4246192780425178,43.54600000000001,33.0485,0.29261025958202125
2023-05-31,41.43,42.14,40.87,41.84,4083015,41.67,23156,12431.4111,0.2431384248210023,4.7354511246440945,1.3345735883769638,43.31,33.127199999999995,0.30269413122789274
2023-06-01,42.0,45.57,41.87,44.43,6728208,44.48,43029,13269.718399999998,0.3269689737470165,4.8417779988031056,1.885631270631759,43.352,33.2448,0.30994395350986026
2023-06-02,45.42,46.8,45.08,46.06,4802838,46.07,35521,13744.0631,0.3744033412887828,4.978190607199741,2.153354269821732,43.46,33.3736,0.3162618200171228
2023-06-05,46.17,49.3,46.15,47.98,5590611,48.24,38058,14391.4392,0.4391408114558473,5.160567713777389,2.497749998626611,43.875,33.522999999999996,0.3180260356217899
2023-06-06,47.74,48.93,47.27,47.4,3973986,48.03,28985,14328.7899,0.4328758949880668,5.324438870513986,2.3814355481136324,44.274,33.6503,0.3213261681797614
2023-06-07,47.96,48.64,45.93,46.01,3726273,46.88,29691,13985.7104,0.39856801909307876,5.450282595777193,2.115451409608218,44.623000000000005,33.7635,0.32658560765457906
2023-06-08,45.87,47.14,45.39,47.0,3193374,46.7,23823,13932.011,0.39319809069212414,5.564525113463162,2.0396723473382417,44.957,33.8686,0.33191818893206004
2023-06-09,47.19,47.75,46.31,46.4,2181567,46.76,18825,13949.910799999998,0.3949880668257754,5.673234746927434,2.0111644430330387,45.328,33.959900000000005,0.33599994700784663
2023-06-12,46.85,48.47,46.63,48.04,2596302,47.87,23356,14281.057099999998,0.42810262529832915,5.798646770882356,2.15909133539012,45.872,34.0856,0.3359663672228359
2023-06-13,48.46,50.12,47.84,49.83,4790571,49.36,33754,14725.5688,0.4725536992840095,5.949101004270226,2.3549453925801314,46.60600000000001,34.2496,0.3330754147648676
2023-06-14,49.0,49.44,46.72,47.69,5280879,47.91,35631,14292.990299999998,0.4292959427207635,6.059926884314398,2.0726005840945017,47.230000000000004,34.4008,0.3326953237953062
2023-06-15,47.57,48.5,46.95,48.25,2852067,47.82,20239,14266.140599999999,0.4266109785202863,6.162804020276028,2.023398433403612,47.564,34.537600000000005,0.33196564677662144
2023-06-16,48.84,49.33,47.8,48.15,2584494,48.32,16820,14415.3056,0.44152744630071594,6.269465343866294,2.0687263249152434,47.789,34.6709,0.32981867163176565
2023-06-20,48.14,49.06,46.88,47.12,2856438,47.42,21130,14146.8086,0.41467780429594275,6.354157696342215,1.8995134488003051,47.707,34.810100000000006,0.3285142518930557
2023-06-21,47.0,47.75,46.51,46.82,2251740,46.89,18853,13988.6937,0.39886634844868735,6.425698135008498,1.7958839269353166,47.593,34.94,0.3280545240998661
2023-06-22,47.14,49.99,47.14,49.29,4742382,49.11,32337,14650.986299999999,0.4650954653937946,6.531628368473706,2.1066428191803803,47.815999999999995,35.0996,0.32406664151008874
2023-06-23,49.33,51.15,49.08,50.03,23684205,50.1,38576,14946.332999999999,0.4946300715990452,6.650290676914199,2.2179192935434298,48.156,35.2717,0.3197009056859785
2023-06-26,49.95,50.66,48.48,49.05,3740388,49.41,26795,14740.485299999998,0.47404534606205234,6.750095548135861,2.0829050344158198,48.421,35.4333,0.3166135465193814
2023-06-27,48.81,50.46,48.81,50.24,3457893,50.01,21134,14919.483299999998,0.49194510739856784,6.855270012344426,2.1384727331821765,48.635,35.6027,0.3122654859028092
2023-06-28,49.98,51.31,49.95,50.12,2558709,50.44,20360,15047.765199999998,0.5047732696897372,6.962583370130525,2.1672714275473175,48.743,35.7851,0.30677879045998857
2023-06-29,50.12,50.73,49.51,49.61,1930263,49.97,16960,14907.550099999999,0.4907517899761335,7.056429324765264,2.0718421920120815,48.949,35.9736,0.30113113601466707
2023-06-30,49.75,50.92,49.63,49.73,2531769,50.05,17166,14931.416499999998,0.4931384248210021,7.146933248949211,2.056799397442428,49.172000000000004,36.1431,0.2971145973157066
2023-07-03,49.73,50.08,48.77,49.42,1289103,49.35,12364,14722.5855,0.4722553699284009,7.222162836623781,1.9384508929937994,49.275,36.31,0.29466889003340385
2023-07-05,49.59,49.91,48.94,49.28,1882065,49.38,17675,14731.5354,0.4731503579952268,7.294263111710266,1.9234030614383026,49.471,36.4776,0.2929756269699426
2023-07-06,48.7,49.53,47.81,48.68,3289002,48.61,27299,14501.8213,0.4501789976133651,7.352191286304456,1.8035178198777493,49.643,36.6402,0.2917921413030489
2023-07-07,48.99,49.72,48.59,48.67,2160267,49.1,19488,14648.002999999999,0.464797136038186,7.414072488595031,1.8545553771090237,49.642,36.809200000000004,0.2893986041400423
2023-07-10,48.88,50.33,48.88,49.84,2588355,49.72,19003,14832.967599999998,0.4832935560859187,7.481657651298962,1.9206716839690088,49.604,36.9806,0.2875463996894176
2023-07-11,49.69,50.14,47.03,48.6,3938256,48.42,27877,14445.1386,0.44451073985680195,7.529095891100616,1.7359066996939838,49.505,37.141999999999996,0.2874904014101205
2023-07-12,49.01,50.73,48.51,49.95,3285246,49.95,25956,14901.5835,0.4901551312649165,7.594197741077925,1.922495107156335,49.499,37.320100000000004,0.2876404515265332
2023-07-13,50.23,51.67,49.44,49.57,3070053,50.23,26251,14985.115899999999,0.4985083532219569,7.660158543731666,1.9424934764798303,49.478,37.5036,0.28817152013723274
2023-07-14,49.62,51.53,49.37,51.04,5301312,50.74,33291,15137.2642,0.5137231503579952,7.73010416200416,1.9908927069373326,49.555,37.6963,0.28844102528801346
2023-07-17,51.04,52.43,50.56,50.64,3176799,51.22,24951,15280.462599999999,0.5280429594272075,7.803532707993364,2.033669697282634,49.672,37.914199999999994,0.28827672818149214
2023-07-18,50.64,50.64,47.84,48.18,5139027,48.64,37094,14510.7712,0.45107398568019086,7.841613856327813,1.6947797026852773,49.601,38.108200000000004,0.2888175857662158
2023-07-19,47.81,48.77,47.23,48.43,3115182,48.14,24159,14361.6062,0.43615751789976137,7.872577123563085,1.6246024394882534,49.477000000000004,38.2895,0.2888543137316712
2023-07-20,48.3,48.46,47.22,47.84,1867260,47.73,20127,14239.290899999998,0.42392601431980886,7.897923974196623,1.567476217857525,49.388999999999996,38.4612,0.2893745139105681
2023-07-21,48.32,48.44,47.6,47.79,1699953,47.86,15138,14278.073799999998,0.42780429594272057,7.923330278674579,1.5788573188309205,49.265,38.638200000000005,0.29016805003534013
2023-07-24,47.77,49.11,47.15,47.8,2560857,47.99,21469,14316.8567,0.4316825775656325,7.948796795312526,1.5901536201622124,49.092,38.814099999999996,0.29074539586045156
2023-07-25,47.81,49.14,47.7,48.88,2801691,48.73,19478,14537.620899999998,0.45375894988066806,7.980487528155805,1.6765652415087364,49.123000000000005,39.007799999999996,0.2909562501432141
2023-07-26,48.69,50.29,48.45,49.12,2730111,49.38,21813,14731.5354,0.4731503579952268,8.017565353937602,1.7498838338885083,49.066,39.191900000000004,0.2912480540984999
2023-07-27,49.85,49.85,47.83,48.14,2067066,48.69,18253,14525.687699999999,0.4525656324582337,8.045962115434095,1.6579506351901694,48.912,39.3699,0.29134628085433556
2023-07-28,49.18,49.69,48.59,49.16,1752696,49.12,16736,14653.969599999999,0.4653937947494032,8.077364647542213,1.7047401721785445,48.75,39.5622,0.29096420963257447
2023-07-31,49.59,50.61,47.2,48.23,4858488,48.15,30827,14364.589499999998,0.43645584725536973,8.09811021888026,1.580591971958842,48.443,39.7459,0.2907352315813663
2023-08-01,47.84,48.66,47.31,47.48,2205021,47.63,19370,14209.4579,0.4209427207637231,8.113276831139027,1.5135448050866067,48.342,39.9251,0.29057290989794815
2023-08-02,46.75,47.08,45.03,46.45,3804984,46.4,27844,13842.511999999999,0.3842482100238662,8.117870863685315,1.3611707041843306,48.16799999999999,40.0972,0.28991041640238946
2023-08-03,46.5,48.61,46.5,47.79,2633010,47.8,22267,14260.173999999999,0.4260143198090691,8.133003141446538,1.5307762438396988,48.175,40.2946,0.2887461064047003
2023-08-04,47.79,48.72,47.05,47.54,2926959,47.88,23464,14284.0404,0.4284009546539379,8.147997446169885,1.5377776052065244,48.177,40.4994,0.2874317628792878
2023-08-07,47.5,48.48,45.73,47.74,4374948,47.32,34892,14116.9756,0.4116945107398568,8.1576875448974,1.4673040532775823,48.11,40.6927,0.2863235190981839
2023-08-08,47.7,48.86,46.73,47.79,8103951,48.37,47680,14430.222099999999,0.44301909307875886,8.175284009734527,1.5925817359368764,48.074,40.899300000000004,0.2845242074787515
2023-08-09,57.17,58.62,53.52,57.56,16377663,56.84,90342,16957.0772,0.6957040572792362,8.291779706019495,2.5917003058341357,48.82,41.1843,0.276826850455158
2023-08-10,58.4,59.59,56.28,57.66,6925608,57.77,42849,17234.5241,0.7234486873508352,8.41730345718953,2.6635380456493367,49.727999999999994,41.4824,0.26946264551683485
2023-08-11,57.57,58.83,56.67,58.35,4038243,57.97,29137,17294.1901,0.7294152744630071,8.540436674510929,2.6485540332509214,50.613,41.782700000000006,0.26319810121875487
2023-08-14,58.76,61.02,58.0,61.0,5861712,60.26,34565,17977.3658,0.7977326968973747,8.693963325583757,2.8651843891148956,51.824,42.090700000000005,0.2557461788354747
