date,open,high,low,close,volume,vwap,transactions,value,cumulative return,percent change
2023-03-10,136.37,136.99,134.11,134.99,287353,135.88,287353,10414.65,0.04146499999999996,-0.003958477588073661
2023-03-13,134.95,134.95,132.28,133.09,357136,133.55,357136,10236.07,0.023606999999999972,-0.01714699965913402
2023-03-14,133.08,134.9,133.02,134.43,305558,134.04,305558,10273.63,0.02736299999999992,0.003669377016765063
2023-03-15,134.43,135.11,132.21,132.9,344291,133.64,344291,10242.97,0.024296999999999933,-0.002984339517775103
2023-03-16,132.91,133.85,131.71,133.37,346431,132.9,346431,10186.25,0.018625,-0.005537456421330855
2023-03-17,133.37,133.58,131.55,131.84,282424,132.64,282424,10166.32,0.01663199999999997,-0.001956559087004539
2023-03-20,132.27,132.65,130.54,131.4,313994,131.5,313994,10078.95,0.007895000000000072,-0.008594063535281138
2023-03-21,131.4,132.63,131.03,132.4,241645,131.98,241645,10115.74,0.011573999999999978,0.003650181814573772
2023-03-22,132.4,133.0,131.0,131.18,247674,132.26,247674,10137.2,0.013720000000000072,0.002121446379602654
2023-03-23,131.19,131.66,130.31,130.85,275256,130.93,275256,10035.26,0.0035260000000000217,-0.01005603125123311
2023-03-24,130.87,130.94,129.64,130.74,261298,130.31,261298,9987.74,-0.0012260000000000218,-0.00473530332049199
2023-03-27,130.85,131.77,130.5,131.24,218831,131.22,218831,10057.48,0.005747999999999956,0.0069825606193192336
2023-03-28,131.24,131.29,130.4,131.05,222015,130.87,222015,10030.66,0.0030659999999999854,-0.0026666719695191965
2023-03-29,131.05,132.89,130.92,132.54,212855,132.1,212855,10124.93,0.012493000000000028,0.009398185164286366
2023-03-30,132.54,133.27,132.22,133.2,216071,132.6,216071,10163.26,0.01632600000000002,0.0037857051851222234
2023-03-31,133.2,133.59,132.09,132.77,218032,133.06,218032,10198.51,0.01985100000000002,0.003468375304774174
2023-04-03,133.35,133.76,131.75,132.32,229878,132.97,229878,10191.61,0.01916100000000006,-0.0006765694204349249
2023-04-04,132.32,133.17,131.35,131.43,216817,132.41,216817,10148.69,0.01486900000000005,-0.004211307143817344
2023-04-05,131.43,131.85,130.62,130.94,224750,131.35,224750,10067.45,0.006745000000000073,-0.008004974040984547
2023-04-06,130.93,131.92,130.77,131.68,177740,131.44,177740,10074.35,0.007435000000000036,0.0006853771312496093
2023-04-10,132.1,133.86,131.99,133.47,185074,132.88,185074,10184.72,0.018471999999999933,0.010955545519065746
2023-04-11,133.47,133.81,132.96,133.59,200183,133.38,200183,10223.04,0.022304000000000088,0.0037624991163234256
2023-04-12,133.6,134.05,132.73,133.08,204454,133.44,204454,10227.64,0.02276399999999994,0.00044996400287966587
2023-04-13,133.08,133.39,132.01,132.49,198743,132.86,198743,10183.18,0.01831800000000003,-0.004347043892823699
2023-04-14,132.49,133.86,132.16,133.82,188175,132.83,188175,10180.88,0.01808799999999992,-0.00022586264801383038
2023-04-17,133.98,134.57,133.71,134.45,194347,134.12,194347,10279.76,0.02797600000000002,0.00971232349266482
2023-04-18,134.46,134.71,133.85,134.04,196496,134.22,196496,10287.42,0.028742000000000007,0.0007451535833520317
2023-04-19,134.04,135.13,133.95,134.71,202390,134.57,202390,10314.25,0.031425,0.002608039722301614
2023-04-20,134.71,134.97,133.95,134.0,203383,134.49,203383,10308.12,0.03081200000000008,-0.0005943233875462806
2023-04-21,134.0,134.49,133.55,134.16,172720,133.99,172720,10269.79,0.026979000000000086,-0.003718427802547941
2023-04-24,133.96,134.73,133.89,134.08,179874,134.34,179874,10296.62,0.02966200000000008,0.0026125169063826448
2023-04-25,134.08,134.48,133.36,133.7,205899,134.0,205899,10270.56,0.027055999999999948,-0.0025309276247934553
2023-04-26,133.71,133.94,133.01,133.46,232544,133.55,232544,10236.07,0.023606999999999972,-0.0033581421071489093
2023-04-27,133.46,134.2,133.2,133.8,211854,133.79,211854,10254.46,0.025445999999999913,0.0017965879483043956
2023-04-28,133.8,136.56,133.33,136.3,249719,135.44,249719,10380.93,0.03809300000000003,0.012333170152304618
2023-05-01,136.38,137.57,136.25,137.52,185188,136.99,185188,10499.73,0.049972999999999955,0.011444061370224023
2023-05-02,137.52,137.77,136.31,136.47,201839,137.13,201839,10510.46,0.05104599999999991,0.0010219310401313741
2023-05-03,136.47,136.57,134.38,134.55,249369,135.52,249369,10387.06,0.03870599999999995,-0.011740684993806094
2023-05-04,134.55,134.88,133.5,134.16,260650,134.34,260650,10296.62,0.02966200000000008,-0.00870698734771902
2023-05-05,134.16,135.12,133.88,134.83,193358,134.41,193358,10301.99,0.03019899999999998,0.0005215303662753357
2023-05-08,135.19,135.23,134.64,135.08,197797,134.94,197797,10342.61,0.034261000000000055,0.0039429275314770695
2023-05-09,135.09,135.36,134.72,135.29,204189,135.06,204189,10351.81,0.03518099999999995,0.0008895240176318708
2023-05-10,135.28,135.47,134.01,134.1,224706,134.83,224706,10334.18,0.03341800000000003,-0.0017030838085319022
2023-05-11,134.1,134.84,133.74,134.49,233325,134.33,233325,10295.85,0.029585000000000035,-0.003709050935826519
2023-05-12,134.48,135.76,134.4,135.74,186109,134.94,186109,10342.61,0.034261000000000055,0.004541635707590919
2023-05-15,135.82,136.32,135.71,136.03,191540,136.05,191540,10427.68,0.04276800000000003,0.008225196541298496
2023-05-16,136.03,136.69,135.67,136.43,194771,136.11,194771,10432.28,0.043228000000000065,0.0004411335982692499
2023-05-17,136.43,137.71,136.29,137.6,195479,137.06,195479,10505.1,0.050510000000000034,0.0069802574317405774
2023-05-18,137.6,138.75,137.27,138.63,205904,138.02,205904,10578.68,0.05786800000000003,0.007004216999362267
2023-05-19,138.63,138.67,136.75,137.96,206989,138.21,206989,10593.24,0.05932399999999998,0.0013763531934041229
2023-05-22,137.65,138.8,137.49,138.66,205986,138.14,205986,10587.87,0.05878700000000008,-0.0005069270591432362
2023-05-23,138.66,138.91,138.23,138.61,225790,138.55,225790,10619.3,0.06192999999999993,0.002968491301838627
2023-05-24,138.61,139.48,138.23,139.29,228259,138.79,228259,10637.69,0.06376900000000005,0.0017317525637283726
2023-05-25,139.29,140.23,139.18,140.02,227304,139.66,227304,10704.38,0.07043799999999992,0.006269218223129203
2023-05-26,140.02,140.83,139.49,140.65,148810,140.02,148810,10731.97,0.07319699999999993,0.0025774496047412665
2023-05-30,140.47,140.93,139.57,139.79,216887,140.08,216887,10736.57,0.07365699999999997,0.0004286258720440639
2023-05-31,139.79,140.39,138.95,139.14,206898,139.66,206898,10704.38,0.07043799999999992,-0.0029981642181814427
2023-06-01,139.14,139.95,138.43,138.74,188440,139.29,188440,10676.02,0.06760200000000004,-0.0026493827760224464
2023-06-02,138.73,140.07,138.6,139.94,170700,139.16,170700,10666.05,0.06660499999999993,-0.0009338686139592767
2023-06-05,140.21,140.45,139.25,139.41,170648,139.97,170648,10728.14,0.07281399999999995,0.005821274042405511
2023-06-06,139.41,139.99,139.09,139.52,180125,139.55,180125,10695.95,0.06959500000000007,-0.0030005201274404536
2023-06-07,139.52,140.25,139.01,139.92,210434,139.58,210434,10698.24,0.06982399999999998,0.00021409972933672528
2023-06-08,139.91,140.1,138.76,138.88,201413,139.45,201413,10688.28,0.06882800000000007,-0.0009309942569991625
